"","Ano","Codigo_Programa","Codigo_Actividad_u_Obra","Vigente","Devengado","Codigo_Economico_Nivel_4","Codigo_Departamento","Codigo_Municipio","Codigo_Fuente_agregada","Codigo_Renglon","ej"
"727",2014,3,300000005000,311505,311503.33,2111000,1,101,10,11,1
"729",2014,3,300000005000,600,600,2111000,1,101,10,13,1
"730",2014,3,300000005000,13407,13406.25,2111000,1,101,10,14,1
"731",2014,3,300000005000,303756.9,303755.57,2111000,1,101,10,15,1
"733",2014,3,300000005000,3782041,3782039.29,2111000,1,101,10,22,1
"734",2014,3,300000005000,62496,62496,2111000,7,701,10,22,1
"737",2014,3,300000005000,420,420,2111000,1,101,10,25,1
"738",2014,3,300000005000,1956,1955,2111000,7,701,10,25,1
"739",2014,3,300000005000,196436,195166.53,2111000,1,101,10,26,1
"740",2014,3,300000005000,2771830.2,2766905.36,2111000,1,101,10,27,1
"741",2014,3,300000005000,63853.6,63852.96,2111000,7,701,10,27,1
"744",2014,3,300000005000,2500,0,2111000,1,101,10,41,0
"745",2014,3,300000005000,22500,5767.51,2111000,1,101,10,42,0
"746",2014,3,300000005000,598427.75,598421.92,2111000,1,101,10,71,1
"747",2014,3,300000005000,9931.4,9924.98,2111000,7,701,10,71,1
"750",2014,3,300000005000,604724.75,604714.03,2111000,1,101,10,72,1
"751",2014,3,300000005000,9895.4,9894.1,2111000,7,701,10,72,1
"754",2014,3,300000005000,25800,10353.43,2111000,1,101,10,73,0
"755",2014,3,300000005000,800,400,2111000,7,701,10,73,0
"758",2014,3,300000005000,78000,68379,2112000,1,101,10,113,0
"760",2014,3,300000005000,2000,1360,2112000,1,101,10,122,0
"761",2014,3,300000005000,10000,9332.24,2112000,1,101,10,162,0
"762",2014,3,300000005000,139993,89473,2112000,1,101,10,165,0
"766",2014,3,300000005000,18500,0,2112000,1,101,10,191,0
"767",2014,3,300000005000,14454,14401,2112000,1,101,10,211,1
"768",2014,3,300000005000,11200,11182,2112000,1,101,10,241,1
"770",2014,3,300000005000,1250,204,2112000,1,101,10,244,0
"771",2014,3,300000005000,1000,624,2112000,1,101,10,245,0
"772",2014,3,300000005000,1250,42.2,2112000,1,101,10,247,0
"773",2014,3,300000005000,23000,22932,2112000,1,101,10,253,1
"774",2014,3,300000005000,3e+05,3e+05,2112000,1,101,10,262,1
"775",2014,3,300000005000,1000,0,2112000,1,101,10,266,0
"776",2014,3,300000005000,30000,29604.7,2112000,1,101,10,267,1
"779",2014,3,300000005000,2800,1691.8,2112000,1,101,10,291,0
"783",2014,11,1102000001000,469000,0,2112000,1,101,10,122,0
"806",2014,11,1102000002000,63000,0,2112000,1,101,10,114,0
"807",2014,11,1102000002000,112279,112149.6,2112000,1,101,10,122,1
"808",2014,11,1102000002000,580034,0,2112000,1,101,50,122,0
"809",2014,11,1102000002000,14868,0,2112000,2,201,50,122,0
"810",2014,11,1102000002000,62042,61403.4,2112000,3,301,10,122,1
"811",2014,11,1102000002000,9744,0,2112000,3,301,50,122,0
"812",2014,11,1102000002000,184989,184583.7,2112000,4,401,10,122,1
